iter	RMSE
0	4.676600461
1	3.344758532
2	2.851427198
3	2.495966748
4	2.392204994
5	2.172667548
6	2.082547438
7	1.856199617
8	1.767475568
9	1.701096146
10	1.618329582
11	1.512647938
12	1.452428315
13	1.395504649
14	1.385067891
15	1.334197005
16	1.322850455
17	1.315076837
18	1.30914321
19	1.290056717
20	1.280096216
21	1.271521712
22	1.25342351
23	1.24657715
24	1.14756048
25	1.139424711
26	1.132470357
27	1.110171003
28	1.104799885
29	1.096980053
30	1.083596124
31	1.076797364
32	1.069093226
33	1.06186636
34	1.054042506
35	1.048492469
36	1.042296762
37	1.035047958
38	1.016559273
39	0.9893020572
40	0.9828993838
41	0.9795462347
42	0.9765640835
43	0.9727046737
44	0.9667848277
45	0.9610133364
46	0.9477431886
47	0.9385913837
48	0.9267153776
49	0.9162472604
50	0.9048189902
51	0.9000384041
52	0.8952103069
53	0.8792458662
54	0.8733380841
55	0.8683166179
56	0.8640729824
57	0.8600555551
58	0.853964376
59	0.8484891063
60	0.8430914758
61	0.8272394117
62	0.8189906671
63	0.8149707218
64	0.8041788056
65	0.7999973748
66	0.7974781945
67	0.7943005861
68	0.7896482909
69	0.7808921622
70	0.7783421912
71	0.7737486838
72	0.7706691454
73	0.762260306
74	0.7523644072
75	0.7488039035
76	0.7438367359
77	0.736574895
78	0.7319438596
79	0.7283356046
80	0.7240931177
81	0.7210842573
82	0.7182735011
83	0.7148289613
84	0.7101874064
85	0.7074782005
86	0.7035248893
87	0.6994088641
88	0.6955218833
89	0.6916124942
90	0.6892030635
91	0.6859395866
92	0.6793197124
93	0.6757773503
94	0.672307843
95	0.6689321973
96	0.6667919216
97	0.6638656577
98	0.6616720399
99	0.6589300119
