iter	Passed	Remaining
0	88	8730
1	184	9018
2	273	8844
3	393	9453
4	481	9147
5	576	9037
6	693	9212
7	786	9046
8	877	8869
9	1026	9234
10	1202	9727
11	1374	10081
12	1493	9997
13	1608	9881
14	1761	9982
15	1879	9868
16	1970	9620
17	2061	9393
18	2177	9283
19	2268	9073
20	2397	9020
21	2581	9150
22	2725	9124
23	2854	9038
24	3011	9035
25	3231	9196
26	3464	9367
27	3675	9451
28	3893	9533
29	4094	9553
30	4336	9651
31	4459	9476
32	4568	9274
33	4681	9086
34	4794	8904
35	4914	8736
36	5026	8558
37	5143	8392
38	5309	8304
39	5491	8237
40	5605	8066
41	5701	7873
42	5822	7717
43	5985	7617
44	6195	7572
45	6362	7469
46	6580	7420
47	6777	7342
48	6978	7263
49	7097	7097
50	7204	6921
51	7356	6790
52	7478	6632
53	7645	6512
54	7774	6360
55	7900	6207
56	8007	6040
57	8169	5916
58	8312	5776
59	8498	5665
60	8637	5522
61	8770	5375
62	8933	5246
63	9097	5117
64	9224	4967
65	9368	4825
66	9470	4664
67	9626	4530
68	9792	4399
69	9891	4239
70	9986	4079
71	10108	3930
72	10204	3774
73	10301	3619
74	10426	3475
75	10519	3322
76	10619	3172
77	10736	3028
78	10846	2883
79	11063	2765
80	11199	2627
81	11318	2484
82	11419	2339
83	11511	2192
84	11634	2053
85	11727	1909
86	11824	1766
87	11946	1629
88	12105	1496
89	12253	1361
90	12398	1226
91	12517	1088
92	12621	949
93	12721	812
94	12834	675
95	12931	538
96	13042	403
97	13139	268
98	13318	134
99	13491	0
