iter	RMSE
0	162.1908364
1	157.7612761
2	153.2857272
3	148.9434835
4	144.7399907
5	140.7167759
6	136.7350292
7	132.9822315
8	129.1911138
9	125.6342519
10	122.0142129
11	118.5511482
12	115.2395346
13	111.9528697
14	108.7453555
15	105.7023493
16	102.6929447
17	99.7546427
18	96.93421939
19	94.16124517
20	91.55531585
21	88.95451185
22	86.44437827
23	84.00191641
24	81.58771023
25	79.27748929
26	77.05749959
27	74.89650784
28	72.76668706
29	70.70552548
30	68.69906744
31	66.762225
32	64.87242376
33	63.03947206
34	61.25106884
35	59.52095609
36	57.84833972
37	56.19546574
38	54.59590149
39	53.05201052
40	51.56596752
41	50.08682286
42	48.69468902
43	47.35779989
44	46.01486715
45	44.73498947
46	43.48031385
47	42.31281221
48	41.12100252
49	39.95614926
50	38.85719777
51	37.7804016
52	36.71811775
53	35.69005845
54	34.68075236
55	33.71553627
56	32.77217841
57	31.8537694
58	30.98581596
59	30.13703113
60	29.3150023
61	28.49563105
62	27.71938106
63	26.96522571
64	26.21455115
65	25.48885428
66	24.80144178
67	24.11536465
68	23.4458487
69	22.80742141
70	22.20698437
71	21.60582577
72	21.02078541
73	20.46623601
74	19.91782535
75	19.39678676
76	18.86356637
77	18.36085761
78	17.88410652
79	17.40190824
80	16.93700682
81	16.49181615
82	16.06624131
83	15.64980096
84	15.24886412
85	14.86024457
86	14.47527935
87	14.11114705
88	13.74662665
89	13.40113652
90	13.07452025
91	12.75216475
92	12.44965039
93	12.14413809
94	11.84922513
95	11.56604064
96	11.29861873
97	11.01990452
98	10.7726012
99	10.52673084
100	10.28565129
101	10.05048031
102	9.830428142
103	9.614261022
104	9.406469265
105	9.194217282
106	8.994356612
107	8.801942847
108	8.619811353
109	8.44420623
110	8.270196406
111	8.105818428
112	7.934198957
113	7.781011597
114	7.635049737
115	7.496962557
116	7.351881197
117	7.226279817
118	7.098920797
119	6.97001449
120	6.854986831
121	6.739462001
122	6.612287314
123	6.49648096
124	6.399594721
125	6.297567185
126	6.206656432
127	6.118180613
128	6.032693028
129	5.95366882
130	5.877410161
131	5.798297871
132	5.725858238
133	5.657719981
134	5.580683436
135	5.521383486
136	5.456944447
137	5.403113394
138	5.347965169
139	5.297685299
140	5.251605255
141	5.205096016
142	5.148837895
143	5.100079366
144	5.060054887
145	5.017556027
146	4.979521399
147	4.94229109
148	4.909435699
149	4.873378441
150	4.836995734
151	4.796507604
152	4.758727525
153	4.717069125
154	4.681470113
155	4.656557908
156	4.633586094
157	4.609770877
158	4.58616999
159	4.56304469
160	4.541599509
161	4.510166964
162	4.491434536
163	4.456704364
164	4.441279565
165	4.426435108
166	4.41182082
167	4.398688067
168	4.386806229
169	4.371042398
170	4.358788149
171	4.346019025
172	4.33421222
173	4.322939807
174	4.311657175
175	4.296044611
176	4.284351132
177	4.273478051
178	4.265742132
179	4.255050953
180	4.248483397
181	4.239031446
182	4.230329243
183	4.221747161
184	4.213620204
185	4.208402476
186	4.201961967
187	4.195961931
188	4.189157512
189	4.182038895
190	4.178014368
191	4.173967873
192	4.170111569
193	4.165357148
194	4.159971144
195	4.155946967
196	4.14785683
197	4.142235822
198	4.137476528
199	4.133697456
200	4.130971456
201	4.126959156
202	4.122401793
203	4.118562891
204	4.116085036
205	4.112686766
206	4.108679348
207	4.104977939
208	4.102138699
209	4.098764073
210	4.095849775
211	4.093294017
212	4.091545495
213	4.087953534
214	4.086243692
215	4.084462183
216	4.082290769
217	4.080303365
218	4.078581978
219	4.076745886
220	4.075289714
221	4.073113786
222	4.070973949
223	4.069307384
224	4.067275743
225	4.065425113
226	4.063538001
227	4.062144965
228	4.060564432
229	4.059387232
230	4.057299008
231	4.056334461
232	4.055487475
233	4.054752846
234	4.053516392
235	4.052218392
236	4.050717768
237	4.049983764
238	4.049296078
239	4.048267314
240	4.047278054
241	4.046590703
242	4.046072613
243	4.045213278
244	4.043887625
245	4.04307704
246	4.042468246
247	4.040424963
248	4.039985428
249	4.038145405
250	4.037215006
251	4.035993931
252	4.035128372
253	4.034481732
254	4.033182483
255	4.032298123
256	4.031431604
257	4.030222235
258	4.029184745
259	4.028702544
260	4.028355593
261	4.027494632
262	4.026615466
263	4.025679204
264	4.025280411
265	4.025199127
266	4.024426995
267	4.023563223
268	4.023314901
