iter	Passed	Remaining
0	1020	1019866
1	1727	861885
2	2470	821178
3	3191	794664
4	3926	781299
5	4665	772931
6	5343	758075
7	6056	750999
8	6939	764082
9	7655	757869
10	8348	750620
11	9030	743477
12	9807	744612
13	10528	741474
14	11220	736804
15	11946	734710
16	12765	738163
17	13478	735311
18	14195	732916
19	14947	732451
20	15724	733043
21	16445	731057
22	17374	738033
23	18149	738080
24	18861	735600
25	19719	738731
26	20682	745335
27	21673	752373
28	22918	767383
29	23842	770899
30	25111	784928
31	26650	806163
32	27508	806095
33	28268	803164
34	29080	801793
35	29905	800802
36	30815	802034
37	31656	801400
38	32482	800401
39	33282	798773
40	34030	795992
41	34835	794576
42	35615	792657
43	36425	791427
44	37172	788891
45	37918	786401
46	38692	784557
47	39518	783785
48	40479	785637
49	41470	787935
50	42193	785123
51	42890	781931
52	43671	780319
53	44388	777626
54	45564	782876
55	46559	784857
56	47296	782467
57	48013	779797
58	48824	778710
59	49583	776815
60	50551	778167
61	51493	779053
62	52360	778760
63	53186	777845
64	54310	781229
65	55239	781718
66	56169	782174
67	57351	786046
68	58273	786264
69	59231	786932
70	60201	787705
71	61126	787846
72	62193	789773
73	63149	790219
74	64127	790909
75	65096	791436
76	66060	791866
77	67118	793370
78	68099	793923
79	69110	794765
80	70057	794853
81	71010	794973
82	71969	795129
83	72909	795065
84	73837	794843
85	74764	794590
86	75755	794992
87	76693	794826
88	77619	794507
89	78551	794245
90	79493	794061
91	80427	793784
92	81391	793782
93	82330	793524
94	83227	792853
95	84234	793203
96	85142	792611
97	86048	791999
98	87028	792051
99	87982	791842
100	88909	791380
101	89831	790868
102	90800	790758
103	91748	790449
104	92730	790413
105	93623	789616
106	94623	789712
107	95653	790023
108	96720	790625
109	98012	793008
110	99131	793948
111	100442	796367
112	101580	797361
113	102461	796326
114	103385	795616
115	104257	794513
116	105163	793666
117	106054	792711
118	106915	791531
119	107806	790581
120	108640	789215
121	109503	788065
122	110398	787153
123	111331	786501
124	112217	785519
125	113098	784509
126	113981	783511
127	114899	782751
128	115757	781589
129	116679	780856
130	117554	779810
131	118391	778510
132	119204	777068
133	120078	776032
134	120952	774994
135	121822	773929
136	122700	772923
137	123552	771754
138	124410	770628
139	125267	769500
140	126122	768364
141	127110	768031
142	128653	771021
143	129973	772617
144	130872	771698
145	131896	771503
146	133084	772253
147	134035	771612
148	135215	772269
149	136471	773341
150	137694	774187
151	138552	772977
152	139460	772046
